SteveDaines, R, Montana
SenatorTester, D, Montana
SenatorBurr, R, North Carolina
SenThomTillis, R, North Carolina
SenKevinCramer, R, North Dakota
SenJohnHoeven, R, North Dakota
SenatorFischer, R, Nebraska
SenSasse, R, Nebraska
SenatorHassan, D, New Hampshire
SenatorShaheen, D, New Hampshire
SenBooker, D, New Jersey
SenatorMenendez, D, New Jersey
MartinHeinrich, D, New Mexico
SenatorTomUdall, D, New Mexico
SenCortezMasto, D, Nevada
SenJackyRosen, D, Nevada
gillibrandny, D, New York
SenSchumer, D, New York
SenSherrodBrown, D, Ohio
senrobportman, R, Ohio
JimInhofe, R, Oklahoma
SenatorLankford, R, Oklahoma
SenJeffMerkley, D, Oregon
RonWyden, D, Oregon
SenBobCasey, D, Pennsylvania
SenToomey, R, Pennsylvania
SenJackReed, D, Rhode Island
SenWhitehouse, D, Rhode Island
LindseyGrahamSC, R, South Carolina
SenatorTimScott, R, South Carolina
SenatorRounds, R, South Dakota
SenJohnThune, R, South Dakota
SenAlexander, R, Tennessee
MarshaBlackburn, R, Tennessee
JohnCornyn, R, Texas
SenTedCruz, R, Texas
SenMikeLee, R, Utah
SenatorRomney, R, Utah
MarkWarner, D, Virginia
SenatorLeahy, D, Vermont
SenSanders, D, Vermont
SenatorCantwell, D, Washington
PattyMurray, D, Washington
SenatorBaldwin, D, Wisconsin
SenRonJohnson, R, Wisconsin
SenCapito, R, West Virginia
Sen_JoeManchin, D, West Virginia
SenJohnBarrasso, R, Wyoming
SenatorEnzi, R, Wyoming
lisamurkowski, R, Alaska
SenDanSullivan, R, Alaska
SenDougJones, D, Alabama
SenShelby, R, Alabama
JohnBoozman, R, Arkansas
SenTomCotton, R, Arkansas
SenMcSallyAZ, R, Arizona
SenatorSinema, D, Arizona
SenFeinstein, D, California
SenKamalaHarris, D, California
SenatorBennet, D, Colorado
SenCoryGardner, R, Colorado
SenBlumenthal, D, Connecticut
SenMurphyOffice, D, Connecticut
SenatorCarper, D, Delaware
ChrisCoons, D, Deleware
SenRubioPress, R, Florida
SenRickScott, R, Florida
SenatorIsakson, R, Georgia
sendavidperdue, R, Georgia
maziehirono, D, Hawaii
SenBrianSchatz, D, Hawaii
SenJoniErnst, R, Iowa
ChuckGrassley, R, Iowa
MikeCrapo, R, Idaho
SenatorRisch, R, Idaho
SenDuckworth, D, Illinois
SenatorDurbin, D, Illinois
SenatorBraun, R, Indiana
SenToddYoung, R, Indiana
JerryMoran, R, Kansas
SenPatRoberts, R, Kansas
SenateMajLdr, R, Kentucky
RandPaul, R, Kentucky
SenBillCassidy, R, Louisiana
SenJohnKennedy, R, Louisiana
SenMarkey, D, Massachusetts
SenWarren, D, Massachusetts
SenatorCardin, D, Maryland
ChrisVanHollen, D, Maryland
SenatorCollins, R, Maine
SenAngusKing, D, Maine
SenGaryPeters, D, Michigan
SenStabenow, D, Michigan
SenAmyKlobuchar, D, Minnesota
SenTinaSmith, D, Minnesota
RoyBlunt, R, Missouri
SenHawleyPress, R, Missouri
SenHydeSmith, R, Mississippi
SenatorWicker, R, Mississippi
repdonyoung, R, Alaska
RepByrne, R, Alabama
RepMarthaRoby, R, Alabama
RepMikeRogersAL, R, Alabama
Robert_Aderholt, R, Alabama
RepMoBrooks, R, Alabama
USRepGaryPalmer, R, Alabama
RepTerriSewell, D, Alabama
RepRickCrawford, R, Arkansas
RepFrenchHill, R, Arkansas
rep_stevewomack, R, Arkansas
RepWesterman, R, Arkansas
RepOHalleran, D, Arizona
RepKirkpatrick, D, Arizona
RepRaulGrijalva, D, Arizona
RepGosar, R, Arizona
RepAndyBiggsAZ, R, Arizona
RepDavid, R, Arizona
RepRubenGallego, D, Arizona
RepDLesko, R, Arizona
RepGregStanton, D, Arizona
RepLaMalfa, R, California
RepHuffman, D, California
RepGaramendi, D, California
RepMcClintock, R, California
RepThompson, D, California
DorisMatsui, D, California
RepBera, D, California
RepPaulCook, R, California
RepMcNerney, D, California
RepJoshHarder, D, California
RepDeSaulnier, D, California
SpeakerPelosi, D, California
RepBarbaraLee, D, California
RepSpeier, D, California
RepSwalwell, D, California
RepJimCosta, D, California
RepRoKhanna, D, California
RepAnnaEshoo, D, California
RepZoeLofgren, D, California
RepJimmyPanetta, D, California
RepTjCox, D, California
RepDevinNunes, R, California
GOPLeader, R, California
RepCarbajal, D, California
RepKatieHill, D, California
RepBrownley, D, California
RepJudyChu, D, California
RepAdamSchiff, D, California
RepCardenas, D, California
BradSherman, D, California
RepPeteAguilar, D, California
gracenapolitano, D, California
RepTedLieu, D, California
RepJimmyGomez, D, California
NormaJTorres, D, California
CongressmanRuiz, D, California
RepKarenBass, D, California
RepLindaSanchez, D, California
RepGilCisneros, D, California
RepRoybalAllard, D, California
RepMarkTakano, D, California
KenCalvert, R, California
RepMaxineWaters, D, California
RepBarragan, D, California
RepKatiePorter, D, California
RepLouCorrea, D, California
RepLowenthal,  D, California
RepHarley, D, California
RepMikeLevin, D, California
Rep_Hunter, R, California
RepJuanVargas, D, California
RepScottPeters, D, California
RepSusanDavis, D, California
RepDianaDeGette, D, Colorado
RepJoeNeguse, D, Colorado
RepTipton, R, Colorado
RepKenBuck, R, Colorado
RepDLamborn, R, Colorado
RepJasonCrow, D, Colorado
RepPerlmutter, D, Colorado
RepJohnLarson, D, Connecticut
RepJoeCourtney, D, Connecticut
rosadelauro, D, Connecticut
jahimes, D, Connecticut
RepJahanaHayes, D, Connecticut
RepLBR, D, Deleware
EleanorNorton, D, District of Columbia
RepMattGaetz, R, Florida
DrNealDunnFL2, R, Flordia
RepTedYoho, R, Florida
RepRutherfordFL, R, Florida
RepAlLawsonJr, D, Florida
RepMichaelWaltz, R, Florida
RepStephMurphy, D, Florida
congbillposey, R, Florida
RepDarrenSoto, D, Florida
RepValDemings, D, Florida
RepWebster, R, Florida
RepGusBilirakis, R, Florida
RepCharlieCrist, D, Florida
USRepKCastor, D, Florida
VernBuchanan, R, Florida
RepGregSteube, R, Florida
RepBrianMast, R, Florida
RepRooney, R, Florida
RepHastingsFL, D, Florida
RepLoisFrankel, D, Florida
RepTedDeutch, D, Florida
RepDWStweets, D, Florida
RepWilson, D, Florida
MarioDB, R, Florida
RepDMP, D, Florida
RepShalala, D, Florida
RepBuddyCarter, R, Georgia 
SanfordBishop, D, Georgia
RepDrewFerguson, R, Georgia
RepHankJohnson, D, Georgia
repjohnlewis, D, Georgia
RepLucyMcBath, D, Georgia
RepRobWoodall, R, Georgia
AustinScottGA08, R, Georgia
RepDougCollins, R, Georgia
CongressmanHice, R, Georgia
RepLoudermilk, R, Georgia
RepRickAllen, R, Georgia
repdavidscott, D, Georgia
RepTomGraves, R, Georgia
RepEdCase, D, Hawaii
TulsiPress, D, Hawaii
RepFinkenauer, D, Iowa
daveloebsack, D, Iowa
RepCindyAxne, D, Iowa
RepRussFulcher, R, Idaho
CongMikeSimpson, R, Idaho
RepBobbyRush, D, Illinois
RepRobinKelly, D, Illinois
RepLipinski, D, Illinois
RepChuyGarcia, D, Illinois
RepMikeQuigley, D, Illinois
RepCasten, D, Illinois
RepDannyDavis, D, Illinois
CongressmanRaja, D, Illinois
janschakowsky, D, Illinois
RepSchneider, D, Illinois
RepBillFoster, D, Illinois
RepBost, R, Illinois
RodneyDavis, R, Illinois
RepUnderwood, D, Illinois
RepShimkus, R, Illinois
RepKinzinger, R, Illinois
RepCheri, D, Illinois
RepLaHood, R, Illinois
RepVisclosky, D, Indiana
RepWalorski, R, Indiana
RepJimBanks, R, Indiana
RepJimBaird, R, Indiana
SusanWBrooks, R, Indiana
RepGregPence, R, Indiana
RepAndreCarson, D, Indiana
RepLarryBucshon, R, Indiana
RepTrey, R, Indiana
RepDavids, D, Kansas
RepRonEstes, R, Kansas
RepGuthrie, R, Kentucky
RepJohnYarmuth, D, Kentucky
RepThomasMassie, R, Kentucky
RepHalRogers, R, Kentucky
RepAndyBarr, R, Kentucky
SteveScalise, R, Louisiana
RepRichmond, D, Louisiana
RepClayHiggins, R, Louisiana
RepMikeJohnson, R, Louisiana
RepAbraham, R, Louisiana
RepGarretGraves, R, Louisiana
chelliepingree, D, Maine
RepGolden, D, Maine
RepAndyHarrisMD, R, Maryland
Call_Me_Dutch, D, Maryland
RepSarbanes, D, Maryland
RepAnthonyBrown, D, Maryland
LeaderHoyer, D, Maryland
RepDavidTrone, D, Maryland
RepCummings, D, Maryland
RepRaskin, D, Maryland
RepRichardNeal, D, Massachusetts
RepMcGovern, D, Massachusetts
RepLoriTrahan, D, Massachusetts
RepJoeKennedy, D, Massachusetts
RepKClark, D, Massachusetts
teammoulton, D, Massachusetts
RepPressley, D, Massachusetts
RepStephenLynch, D, Massachusetts
USRepKeating, D, Massachusetts
RepJackBergman, R, Michigan
RepHuizenga, R, Michigan
justinamash, R, Michigan
RepMoolenaar, R, Michigan
RepDanKildee, D, Michigan
RepFredUpton, R, Michigan
RepWalberg, R, Michigan
RepSlotkin, D, Michigan
RepAndyLevin, D, Michigan
RepPaulMitchell, R, Michigan
RepHaleyStevens, D, Michigan
RepDebDingell, D, Michigan
RepRashida, D, Michigan
RepLawrence, D, Michigan
RepHagedorn, R, Minnesota
RepAngieCraig, D, Minnesota
RepDeanPhillips, D, Minnesota
BettyMcCollum04, D, Minnesota
Ilhan, D, Minnesota
RepTomEmmer, R, Minnesota
RepPeteStauber, R, Minnesota
LacyClayMO1, D, Missouri
RepAnnWagner, R, Missouri
RepBlaine, R, Missouri
RepHartzler, R, Missouri
repcleaver, D, Missouri
RepSamGraves, R, Missouri
USRepLong, R, Missouri
RepJasonSmith, R, Missouri
RepTrentKelly, R, Mississippi
BennieGThompson, D, Mississippi
RepMichaelGuest, R, Mississippi
CongPalazzo, R, Mississippi
GKButterfield, D, North Carolina
RepHolding, R, North Carolina
RepWalterJones, R, North Carolina
RepDavidEPrice, D, North Carolina
virginiafoxx, R, North Carolina
RepMarkWalker, R, North Carolina
RepDavidRouzer, R, North Carolina
RepRichHudson, R, North Carolina
PatrickMcHenry, R, North Carolina
RepMarkMeadows, R, North Carolina
RepAdams, D, North Carolina
RepTedBudd, R, North Carolina
RepArmstrongND, R, North Dakota
JeffFortenberry, R, Nebraska
RepDonBacon, R, Nebraska
RepAdrianSmith, R, Nebraska
RepChrisPappas, D, New Hampshire
RepAnnieKuster, D, New Hampshire
DonaldNorcross, D, New Jersey
CongressmanJVD, R, New Jersey
RepAndyKimNJ, D, New Jersey
RepChrisSmith, R, New Jersey
RepJoshG, D, New Jersey
FrankPallone, D, New Jersey
RepMalinowski, D, New Jersey
RepSires, D, New Jersey
BillPascrell, D, New Jersey
RepDonaldPayne, D, New Jersey
RepSherrill, D, New Jersey
RepBonnie, D, New Jersey
RepDebHaaland, D, New Mexico
RepTorresSmall, D, New Mexico
repbenraylujan, D, New Mexico
repdinatitus, D, Nevada
MarkAmodeiNV2, R, Nevada
RepSusieLee, D, Nevada
RepHorsford, D, Nevada
RepLeeZeldin, R, New York
RepPeteKing, R, New York
RepTomSuozzi, D, New York
RepKathleenRice, D, New York
RepGregoryMeeks, D, New York
RepGraceMeng, D, New York
NydiaVelazquez, D, New York
RepJeffries, D, New York
RepYvetteClarke, D, New York
RepJerryNadler, D, New York
RepMaxRose, D, New York
RepMaloney, D, New York
RepEspaillat, D, New York
RepAOC, D, New York
RepJoseSerrano, D, New York
RepEliotEngel, D, New York
NitaLowey, D, New York
RepSeanMaloney, D, New York
repdelgado, D, New York
RepPaulTonko, D, New York
RepStefanik, R, New York
RepBrindisi, D, New York
RepTomReed, R, New York
RepJohnKatko, R, New York
RepJoeMorelle, D, New York
RepBrianHiggins, D, New York
RepSteveChabot, R, Ohio
RepBradWenstrup, R, Ohio
RepBeatty, D, Ohio
Jim_Jordan, R, Ohio
boblatta, R, Ohio
RepBillJohnson, R, Ohio
RepBobGibbs, R, Ohio
WarrenDavidson, R, Ohio
RepMarcyKaptur, D, Ohio
RepMikeTurner, R, Ohio
RepMarciaFudge, D, Ohio
RepBalderson, R, Ohio
RepTimRyan, D, Ohio
RepDaveJoyce, R, Ohio
