0,SteveDaines,Fighting every day to get things done for Montana more jobs less government and protecting our way of life,0.16666666666666669,"['fighting', 'montana']"
1,SteveDaines, The Senate had a very thorough process which included over 60 hours of trial 180 questions from Senators 13 witnesses 1,0.2,['thorough process']
2,SteveDaines,It should be up to the American people to decide who their next president is not the Senate It s time to acquit and move forward,0.0,"['american people', 's time']"
3,SteveDaines,If there has been an abuse of power it s been from Nancy Pelosi and House Democrats This has never been about new info or facts It s been an attempt by Pelosi and House Dems to prolong this sham process and sway the 2020 election,-0.03181818181818183,"['nancy pelosi', 'new info', 'pelosi', 'dems', 'sham process']"
4,SteveDaines,This is the most partisan impeachment in our nation s history which is exactly what Alexander Hamilton and James Madison feared as they debated whether or not they should put this power in the Constitution,0.375,"['partisan impeachment', 'nation s history', 'alexander hamilton', 'james madison']"
5,SenatorTester,I introduced a resolution observing January as National Human Trafficking and Modern Slavery Prevention Month I m urging the government social service providers and nonprofits to work together to raise awareness of these crises and to continue supporting efforts to combat them,0.12083333333333333,"['january', 'trafficking', 'slavery prevention month', 'social service providers']"
6,SenatorTester,Read more about our bipartisan work here,0.5,"['read', 'bipartisan work']"
7,SenatorTester,Amid the noise the amp are working hard for our nation s veterans Yesterday we advanced 10 bills out of committee including the bipartisan Commander John Scott Hannon Veterans Mental Health Care Improvement Act which improves access to VA mental health care,-0.02291666666666667,"['amid', 'nation s veterans', 'yesterday', 'commander john scott hannon veterans mental', 'care improvement', 'improves access', 'va', 'mental health care']"
8,SenatorTester,On International Holocaust Remembrance Day we honor the millions of innocent Jews murdered during the Holocaust and reaffirm our commitment to rooting out anti Semitism and hatred wherever it exists Today WeRemember,0.25,"['holocaust remembrance', 'jews', 'holocaust', 'semitism', 'weremember']"
9,SenatorTester,DollyPartonChallenge,0.0,['dollypartonchallenge']
10,SenatorBurr,While the U S must consider its own security and economic priorities I m committed to working with U S officials the U K and other allies as we move forward including by supporting the development of credible alternatives to Huawei 2 2 MORE,0.3041666666666667,"['own security', 'economic priorities', 's officials', 'u k', 'credible alternatives', 'huawei', 'more']"
11,SenatorBurr,I m deeply troubled by the U K s decision to allow Huawei to build components of its 5G network The risks Huawei poses are well documented and impossible to ignore Once the door is opened they may also prove impossible to contain 1 2,-0.611111111111111,"['u k', 's decision', 'huawei', '5g network', 'huawei']"
12,SenatorBurr,The 2019nCoV outbreak is just one example of why we need to stay vigilant against public health threats The Pandemic and All Hazards Preparedness and Advancing Innovation Act signed into law last year will keep America prepared to respond with innovative countermeasures,0.16666666666666666,"['2019ncov outbreak', 'public health threats', 'pandemic', 'hazards preparedness', 'advancing innovation', 'america', 'innovative countermeasures']"
13,SenatorBurr,We will NeverForget the horrific atrocities committed during the Holocaust On HolocaustRemembranceDay we remember those who were liberated from Auschwitz on this day and we honor the memory of the millions more who were brutally killed,-0.2333333333333333,"['neverforget', 'horrific atrocities', 'holocaust', 'holocaustremembranceday', 'auschwitz']"
14,SenatorBurr,Glad is doing something about this Too many people are fraudulently claiming disability needs to bring any variety of animals on a flight It s not fair to those who do need trained service dogs other passengers or the airlines,0.13125,"['glad', 'too', 'disability needs', 'service dogs']"
15,SenThomTillis, I joined my colleagues and to call for a briefing from an,0.0,[]
16,SenThomTillis,Good news The 2nd round of s ReConnect Grant Program is now accepting applications Contact my office if you need assistance with the application process,0.16666666666666666,"['good news', 'reconnect grant program', 'contact', 'application process']"
17,SenThomTillis,I m proud my two bills that would reaffirm our commitment to our nation s veterans were passed unanimously by the VA committee,0.8,"['nation s veterans', 'va']"
18,SenThomTillis,We have heard 16 hours of questions from Senators to the House managers and White House counsel and the Democrats still have a weak case against the President with no grounds to remove him It s time for the Senate to vote to acquit President impeachment,-0.1875,"['house managers', 'white house counsel', 'weak case', 's time', 'acquit president impeachment']"
19,SenThomTillis,The Biden Rule In a number of previous impeachment trials the Senate has reached the judgment that its constitutional role as a sole trier of impeachments does not require it to take new evidence or hear live witness testimony Joe Biden 1999,0.026515151515151512,"['biden', 'previous impeachment trials', 'constitutional role', 'sole trier', 'new evidence', 'joe biden']"
20,SenKevinCramer,As I told this morning Democrats have failed to make the case for impeaching and no witness would change that Now it s time to vote and finally put this behind us,-0.3,['s time']
21,SenKevinCramer,amp I asked s team about claiming if were innocent he d accept all the witnesses amp documents they want Obviously the answer is no Their assertion creates a dangerous precedent amp runs contrary to our criminal justice system,-0.125,"['s team', 'witnesses amp documents', 'obviously', 'assertion creates', 'dangerous precedent amp runs contrary', 'criminal justice system']"
22,SenKevinCramer,This Committee would provide an opportunity for them to have even greater input into the issues and the policies of the VA as well as giving them access to the leaders,0.5,['va']
23,SenKevinCramer,In North Dakota Native Americans have the highest rate of military service of any ethnic group They re some of the most patriotic people I know,0.2,"['dakota native', 'military service', 'ethnic group', 'patriotic people']"
24,SenKevinCramer,Yesterday passed bipartisan legislation we introduced to establish a VA Department Advisory Committee on Tribal and Indian Affairs,0.0,"['yesterday', 'bipartisan legislation', 'va', 'advisory committee', 'tribal']"
