0,SteveDaines,The honor was all mine Kandi is an amazing representative of and our great state MontanaProud,0.7000000000000001,"['kandi', 'amazing representative', 'great state', 'montanaproud']",R,Montana
1,SteveDaines,Great conversation today with and on the devastating impact frivolous litigation has on forest management projects,-0.09999999999999998,"['great conversation', 'impact frivolous litigation', 'forest management projects']",R,Montana
2,SteveDaines,An honor to visit w Kandi this morning Montana s Athlete of the Year from Billings MontanaProud SOHillDay,0.0,"['kandi', 'montana', 's athlete', 'billings montanaproud sohillday']",R,Montana
3,SteveDaines,Patricia Pardue the widow of a Montana veteran was taken advantage of by scam artists We can t let that happen again I ll never stop fighting to protect our vets and their families,0.0,"['patricia pardue', 'montana', 'scam artists']",R,Montana
4,SteveDaines,I m fighting to protect veterans and their families from scam artists Pension poaching is a real issue impacting folks in MT and across our country it must be stopped,0.2,"['scam artists', 'pension', 'real issue', 'mt']",R,Montana
5,SenatorTester,The future is bright for Montana s Special Olympics Athlete of the Year Kandi Christophersen Thanks for stopping by my office today and sharing your goals your leadership and commitment to excellence for Montana athletes makes our state proud,0.41142857142857137,"['montana', 'olympics', 'kandi christophersen thanks', 'montana']",D,Montana
6,SenatorTester,Welcome back to Earth Christina With 328 days and 139 million miles under your belt your contributions to STEM will be sure to inspire young Montana scientists for generations to come We hope to see you back in Livingston soon,0.28,"['welcome', 'earth christina', 'stem', 'montana', 'livingston']",D,Montana
7,SenatorTester,To continue celebrating the great work MT s Tribal Colleges and Universities do every day to support students teachers and other members of Tribal communities I ve introduced a resolution to declare the week of February 2 8 National Tribal Colleges and Universities Week,0.3375,"['great work', 'mt', 'tribal colleges', 'universities', 'support students teachers', 'tribal', 'february', 'tribal colleges', 'universities']",D,Montana
8,SenatorTester,No matter where you live education is the cornerstone of success Honored to meet with members of Montana s Tribal Colleges and Universities yesterday These important institutions provide the next generation of Native leaders the tools they need to thrive,0.2090909090909091,"['honored', 'montana', 'tribal colleges', 'universities', 'important institutions', 'native']",D,Montana
9,SenatorTester,Chairman Gray has arrived We re sitting down to discuss federal recognition of the Little Shell Tribe issues facing Indian country and more Join us LIVE on Facebook here,0.0733270202020202,"['federal recognition', 'shell tribe', 'indian country', 'join', 'live', 'facebook']",D,Montana
10,SenatorBurr,Walter Jones had a lasting impact on NC and this country He was a dedicated public servant who practiced a steadfast commitment to his principles I can think of no better way to recognize his legacy than by dedicating the Walter B Jones Jr Post Office in his hometown,0.037500000000000006,"['walter jones', 'nc', 'public servant', 'steadfast commitment', 'walter', 'jones jr', 'post office']",R,North Carolina
11,SenatorBurr, READ my op ed w the US today is better prepared than ever before to face emerging public health threats l,0.25,"['read', 'public health threats l']",R,North Carolina
12,SenatorBurr,Congress built a strong emergency response framework designed to be flexible and innovative so we are not only ready to face the coronavirus today but new public health threats in the future Read more,0.2212121212121212,"['strong emergency response framework', 'new public health threats', 'read']",R,North Carolina
13,SenatorBurr, Happy Birthday Sir We miss you every day,0.8,['birthday sir'],R,North Carolina
14,SenatorBurr,We must continue building on the lessons of 2016 and make sure we have strong response options at the ready I hope this Committee s bipartisan report will help further the public s understanding of the threats we face and the current Administration s ability to respond to them,0.18888888888888888,"['strong response options', 'committee s', 'bipartisan report', 'public s understanding', 'current administration s ability']",R,North Carolina
15,SenThomTillis,Thank you for creating to provide one stop access to federal resources programs and recommendations for school safety In 2019 and I introduced legislation to codify the clearinghouse into law,0.0,"['thank', 'stop access', 'federal resources programs', 'school safety']",R,North Carolina
16,SenThomTillis,Always great to see my friends from SOHillDay,0.8,['sohillday'],R,North Carolina
17,SenThomTillis,He will always be remembered for his tireless advocacy and had a monumental impact on all he did One year after his passing his legacy lives on and I m proud to introduce this legislation to rename the Farmville Post Office after such a respected American servant,0.26666666666666666,"['tireless advocacy', 'monumental impact', 'farmville', 'post office', 'american servant']",R,North Carolina
18,SenThomTillis,Today and I introduced legislation to honor the legacy of the late Congressman Walter B Jones Jr by renaming the U S Postal Service located at 3703 North Main Street in Farmville N C as the Walter B Jones Jr Post Office ncpol,-0.06666666666666667,"['late congressman', 'walter', 'jones jr', 'postal', 'north main street', 'farmville n', 'walter', 'jones jr', 'post office ncpol']",R,North Carolina
19,SenThomTillis,As a member of the HBCU Caucus I am proud to have worked with my colleagues to achieve record and permanent funding for North Carolina s HBCUs and ensure they have access to federal resources and workforce development opportunities BlackHistoryMonth,0.8,"['hbcu caucus', 'carolina', 'hbcus', 'federal resources', 'workforce development opportunities', 'blackhistorymonth']",R,North Carolina
20,SenKevinCramer,Always happy to hear from our National Guard service members Stephen Trautman Chuck Kasin and Chuck Votava from the Enlisted Association met me in the Capitol to talk about duty status reform and Tricare for early retirees,0.45,"['national guard service members', 'stephen trautman chuck kasin', 'chuck votava', 'enlisted', 'duty status reform', 'tricare', 'early retirees']",R,North Dakota
21,SenKevinCramer,President is a strong ally for our veterans As I said in the Oval Office yesterday the legislation he signed is a win for the veterans who want good jobs and a win for the businesses who want good workers Thank you for supporting those who keep America safe,0.5976190476190476,"['strong ally', 'oval', 'good jobs', 'good workers', 'thank', 'america']",R,North Dakota
22,SenKevinCramer,s Associate Deputy Secretary Kiel Weaver came to my office to discuss water issues in North Dakota I appreciate and his leadership s attention to our state,0.0,"['associate', 'deputy secretary', 'kiel weaver', 'water issues', 'dakota', 'leadership s attention']",R,North Dakota
23,SenKevinCramer,Attended the National Guard Caucus Breakfast this morning where we heard from Lengyel Also enjoyed catching up with s Maj Gen Dohrmann amp discussing amp the importance of North Dakota s ISR mission with amp,0.55,"['attended', 'national guard', 'caucus breakfast', 'lengyel', 'maj gen dohrmann', 'dakota', 'isr']",R,North Dakota
24,SenKevinCramer,In honor of BlackHistoryMonth we in passed a bill today renaming Headquarters after William T Coleman Jr the first African American Secretary of Transportation and the second African American to serve in a cabinet,0.041666666666666664,"['blackhistorymonth', 'william t coleman jr', 'african', 'american secretary', 'african']",R,North Dakota
25,SenJohnHoeven,Joined at the as he signed the Supporting Veterans in STEM Careers Act This is about giving NDveterans better job prospects as they enter the civilian workforce maintaining our nation s competitive edge in tech development especially NDtech,0.25,"['joined', 'supporting veterans', 'stem careers', 'ndveterans', 'job prospects', 'civilian workforce', 'nation s', 'competitive edge', 'tech development', 'ndtech']",R,North Dakota
