,user,tweetText,simplePolarity,nouns,party,state
0,SteveDaines,Look forward to Judge Amy Coney Barrett becoming Justice Amy Coney Barrett soon ConfirmACB,0.45,"['amy coney barrett', 'amy coney barrett', 'confirmacb']",R,Montana
1,SteveDaines,Thank you for signing the Savanna s Act into law today Sadly Montana s tribes are too familiar with stories such as Savanna s and this law is critical to protecting some of our most vulnerable in our MT tribal communities,-0.020833333333333332,"['thank', 'savanna', 's act', 'sadly montana', 's tribes', 'savanna', 'mt', 'tribal communities']",R,Montana
2,SteveDaines,Visited with Northern Cheyenne Tribal leaders today and talked about several issues impacting the community including COVID 19 This virus is devastating our Tribal communities We must do all we can to protect them,-0.5,"['visited', 'cheyenne tribal', 'covid', 'tribal']",R,Montana
3,SteveDaines,Met with Crow Tribal Chairman AJ Not Afraid today to discuss COVID 19 on the reservation and to drop off much needed supplies for the community to help stay healthy amp combat the pandemic,0.3333333333333333,"['met', 'crow tribal', 'aj', 'afraid', 'covid', 'healthy amp']",R,Montana
4,SteveDaines,Excited to chat with Kristi Borge and her class from Polaris Elementary School this morning to celebrate her being named Montana s Teacher of the Year,0.3375,"['excited', 'kristi borge', 'polaris', 'elementary school', 'montana', 'teacher']",R,Montana
5,SenatorTester,Happy Indigenous People s Day Today we are reminded to examine our history recognize the resiliency of our Native brothers and sisters and celebrate the past present and future contributions of our Native communities in making Montana the Last Best Place,0.25833333333333336,"['indigenous', 'people s day', 'native', 'future contributions', 'native', 'montana']",D,Montana
6,SenatorTester,Great news on the eve of Indigenous People s Day both my bipartisan Savanna s Act and Not Invisible Act have been signed into law providing vital support in the fight to address the MMIW crisis I ll always fight to help keep folks in Indian Country safe proud to get this done,0.55,"['great news', 'indigenous', 'people s day', 'savanna', 's act', 'invisible', 'vital support', 'mmiw', 'indian country']",D,Montana
7,SenatorTester,Folks like Lindsie are working tooth and nail and risking their lives to keep our communities safe We ve got to listen to the science here folks and do all we can to help frontline health care workers as we work to beat this virus MaskUpMT,0.5,"['folks', 'lindsie', 'frontline health care workers', 'maskupmt']",D,Montana
8,SenatorTester,In MT the stakes for the Census couldn t be higher funds for schools roads hospitals and an additional seat in Congress are all on the line and I are calling on the Census Bureau to do right by Montanans and keep the count open until 10 31,0.17857142857142858,"['mt', 'census', 'couldn t', 'schools roads hospitals', 'additional seat', 'congress', 'census', 'montanans']",D,Montana
9,SenatorTester,Hey and don t count Montana out I heard about your TurnoutChallenge and I want in Montana came 3rd in voter turnout in 18 and we are poised to do even better this election I m betting better than MN and CO Winner gets a brew or a few,0.2,"['hey', 'don t', 'montana', 'turnoutchallenge', 'montana', 'voter turnout', 'm betting', 'mn', 'co winner']",D,Montana
